"","Municipi","Codi","Usuaris_sexe_Social_Dona","Usuaris_sexe_Social_Home","Hores_SAD_Social_Dona","Hores_SAD_Social_Home","Total_Hores_SAD_Social","Total_Usuaris_SAD_Social","Any"
"1","Aiguafreda","080142",21,5,1870.5,433.5,2304,26,2018
"2","Canovelles","080410",73,27,2765.5,1008.5,3774,100,2018
"3","Cànoves i Samalús","080425",20,3,1535.75,179.5,1715.25,23,2018
"4","Figaró-Montmany","081347",10,2,725.5,88,813.5,12,2018
"5","La Garriga","080885",63,10,2578,321,2899,73,2018
"6","La Llagosta","081056",24,8,2460,748.25,3208.25,32,2018
"7","L'Ametlla del Vallès","080057",34,17,1926.5,960,2886.5,51,2018
"8","Les Franqueses del Vallès","080863",32,13,5046,1594.5,6640.5,45,2018
"9","Lliçà d'Amunt","081075",35,21,1883.52,1118.24,3001.76,56,2018
"10","Martorelles","081154",11,3,843.25,367.75,1211,14,2018
"11","Montornès del Vallès","081363",47,34,2087.75,1399.75,3487.5,81,2018
"12","Sant Antoni de Vilamajor","081982",62,8,4504,882,5386,70,2018
"13","Sant Fost de Campsentelles","082093",12,9,1831.25,927,2758.25,21,2018
"14","Sant Pere de Vilamajor","082346",18,9,1094,542,1636,27,2018
"15","Santa Maria de Martorelles","082567",1,0,240,0,240,1,2018
"16","Tagamanent","082763",4,1,334,117,451,5,2018
"17","Vallromanes","082969",10,1,789,98,887,11,2018
"18","Vilanova del Vallès","089024",7,2,563,153.25,716.25,9,2018
"19","Santa Maria de Palautordera","082592",45,11,3130.5,723.25,3853.75,56,2018
"20","Gualba","080977",5,1,271.33,12,283.33,6,2018
"21","Vallgorguina","082943",4,1,685,20,705,5,2018
"22","Campins","080399",1,0,166,0,166,1,2018
"23","Sant Esteve de Palautordera","082074",3,4,170.5,158,328.5,7,2018
"24","Fogars de Montclús","080811",1,0,44,0,44,1,2018
"25","Caldes de Montbui","080333",44,14,3533,927,4460,58,2018
"26","Cardedeu","080462",34,10,2678.58,530.12,3208.7,44,2018
"27","Llinars del Vallès","081069",31,14,2041.5,1203,3244.5,45,2018
"28","Montmeló","081350",22,5,1484,282,1766,27,2018
"29","Parets del Vallès","081593",93,58,2632,3531,6163,151,2018
"30","Sant Celoni","082021",78,22,4560.5,1460.25,6020.75,100,2018
"31","Sant Feliu de Codines","082107",25,12,1007,462,1469,37,2018
"32","Santa Eulàlia de Ronçana","082482",15,8,758.9,142,900.9,23,2018
"33","Vilalba Sasserra","083067",3,2,398,102,500,5,2018
"34","Bigues i Riells del Fai","080235",60,21,1670.7,403.3,2074,81,2018
"35","Lliçà de Vall","081081",40,15,843.9,742,1585.9,55,2018
"36","La Roca del Vallès","081810",38,8,2898,438,3336,46,2018
"37","Granollers","080961",84,40,992164,366153,1358317,124,2018
"38","Mollet del Vallès","081249",128,57,13191,3855,17046,185,2018
