"","Codi","Any","Usuaris_sexe_Dependencia_Dona","Usuaris_sexe_Dependencia_Home","Hores_SAD_Dependencia_Dona","Hores_SAD_Dependencia_Home","Total_Hores_SAD_Dependencia","Total_Usuaris_SAD_Dependencia","Municipi","Usuaris_sexe_Social_Home","Usuaris_sexe_Social_Dona","Hores_SAD_Social_Home","Hores_SAD_Social_Dona","Total_Hores_SAD_Social","Total_Usuaris_SAD_Social","Total_Usuaris_SOCDEP_Home","Total_Usuaris_SOCDEP_Dona","Total_Usuaris_SOCDEP","Total_Hores_SOCDEP","Homes","Dones","De 0 a 30","De 31 a 50","De 51 a 70","De 71 a 100","Total_POB_MUNI","Perc_SAD_POB_MUNI","Perc_SAD_Dones","Perc_SAD_Homes_Muni","Perc_SAD_USUARIS_0_a_30_A","Perc_SAD_USUARIS_31_a_50_A","Perc_SAD_USUARIS_51_a_70_A","Perc_SAD_USUARIS_71_a_100_A","Altitud (m)","Superficie (km2)","Perc_pob","Densit_pob","Perc_Densit_pob","Densit.pob.De_71_a_100","perc.Densit.pob.De_71_a_100","RFDB milers d'euros","RFDB per habitant. Milers d'euros","RFDB per habitant. Índex Catalunya = 100","Perc_VO_RFD_me","Perc_VO_RFD_me_CUTTED","VO_RFD_Dico","Esperanca_vida_H_I_D_BCN_PROV","Esperanca_vida_H_BCN_PROV","Esperanca_vida_D_BCN_PROV","VS_65_Homes_CAT","VS_65_Dones_CAT","Total_VS_65_HD_CAT","VS_AN_Homes_CAT","VS_AN_Dones_CAT","Total_VS_AN_HD_CAT","Total places Residències","Places Centres de dia","MEAN_VALORACIO_SIT_ECO_CAT","MEAN_VALORACIO_SIT_POL_CAT","MEAN_INTERES_POL","MEAN_STF_DEM","MEAN_CONFI_POL","MEAN_IDEOLOGIA","MEAN_SENT_PERT","VO PIB milions d'euros","VO PIB  per habitant. Milers d'euros","PIB  per habitant. Índex Catalunya = 100","Perc_VO_PIB_ME","VO_PIB_Dico","PERC_VO_PIB_ME_CUTTED","Índex de Gini (CAT)","Índex de ràtio S80/S20 (CAT)","Taxa de risc de pobresa o exclusió social (taxa AROPE)","Població en risc de pobresa (després de transferències socials)","Població que viu en llars amb intensitat de treball molt baixa (1)","Població amb privació material severa","PIB (CAT)","Producció de béns públics de caràcter social","Soport financer als ens locals","Deute públic","Pressupots Consell Comarcal Vallès Oriental (milions €)","Perc_Homes_CAT_Sota_Llindar_pobresa","Perc_Dones_CAT_Sota_Llindar_pobresa","Perc_Total_Pob_CAT_Sota_Llindar_pobresa","Anys_Dependencia","Anys_Dependencia_Cutted","Nombre de pensions","Nombre de pensionistes","Pensions per pensionista","Perc_N_Pens"
"1","081593",2011,11,4,624.2,371.5,995.7,15,"Parets del Vallès",48,62,3721,3330,7051,110,52,73,125,8046.7,9190,8923,6631,6487,3562,1433,18113,0.69011207420085,0.818110500952594,0.565832426550599,1.8850852058513,1.92693078464622,3.50926445816957,8.72295882763433,98,9.12,4.57262734841638,1986.07456140351,5.89200054321479,157.127192982456,8.47108380216629,308439,169,1015,9.74231302667458,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,1076.1,59,212.7,10.5372932640052,"PIB VO ME Per sobre la mitjana","Alt",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","3191",2826,"1.13",6.52716186252772
"2","081069",2011,13,3,1165.3,255.2,1420.5,16,"Llinars del Vallès",5,16,480.75,1152.5,1633.25,21,8,29,37,3053.75,4611,4682,3222,3150,2023,898,9293,0.398149144517379,0.619393421614695,0.173498156582086,1.14835505896958,1.17460317460317,1.82896688087,4.12026726057906,198,27.63,2.34601810571597,336.33731451321,0.99779720173991,32.5009048136084,8.41349470943574,148966,159,956,9.62875582947395,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,263.5,28.2,101.6,2.58022188929037,"PIB VO ME Per sota la mitjana","Baix-Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","1703",1529,"1.11",3.53150406504065
"3","082969",2011,5,3,480,213.4,693.4,8,"Vallromanes",NA,NA,NA,NA,NA,NA,3,5,8,693.4,1223,1173,866,906,481,143,2396,0.333889816360601,0.426257459505541,0.245298446443173,0.92378752886836,0.883002207505519,1.66320166320166,5.59440559440559,153,10.65,0.604870265930859,224.976525821596,0.667428020131672,13.4272300469484,7.82581788517258,50858,209,1256,9.29983359847861,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","255",227,"1.12",0.52429785661493
"4","081350",2011,21,11,2923.5,1809.4,4732.9,32,"Montmeló",11,32,968,2658,3626,43,22,53,75,8358.9,4403,4510,3058,3005,1969,881,8913,0.841467519353753,1.17516629711752,0.499659323188735,2.45258338783519,2.49584026622296,3.80904012188928,8.51305334846765,72,4,2.25008709525949,2228.25,6.61045182570615,220.25,8.98979591836735,144421,163,980,10.1646733243573,"Alta","RFD VO me Per sobre la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,259.1,29.3,105.7,2.53713659019026,"PIB VO ME Per sota la mitjana","Baix-Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","1759",1632,"1.08",3.76940133037694
"5","082346",2011,11,2,1273.4,312,1585.4,13,"Sant Pere de Vilamajor",NA,NA,NA,NA,NA,NA,2,11,13,1585.4,2142,2114,1455,1630,832,339,4256,0.305451127819549,0.520340586565752,0.0933706816059757,0.893470790378007,0.797546012269939,1.5625,3.83480825958702,305,34.72,1.07442731711258,122.58064516129,0.363654639112617,9.76382488479263,8.46343168401231,74252,175,1048,9.88446470242905,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","612",565,"1.08",1.304970436068
"6","082021",2011,30,22,3601.2,3013.8,6615,52,"Sant Celoni",27,66,1395.5,4358,5753.5,93,49,96,145,12368.5,8462,8487,6030,5696,3376,1847,16949,0.855507699569296,1.13114174620007,0.579059324036871,2.40464344941957,2.54564606741573,4.29502369668246,7.85056848944234,152,65.23,4.27877551638653,259.834432009811,0.770839445960093,28.3151923961367,9.22584900489271,263686,156,934,9.82593715612518,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,403.2,23.8,85.7,3.94818013571869,"PIB VO ME Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","3506",3095,"1.13",7.14846637102735
"7","081363",2011,19,9,1172.6,714.2,1886.8,28,"Montornès del Vallès",NA,NA,NA,NA,NA,NA,9,19,28,1886.8,8186,7856,6203,5586,3003,1250,16042,0.174541827702282,0.241853360488798,0.109943806498901,0.451394486538772,0.50125313283208,0.932400932400932,2.24,116,10.23,4.04980334142856,1568.13294232649,4.65211141997177,122.189638318671,8.48806408428468,245275,153,917,9.87722083939564,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,619.9,38.6,139.1,6.07013111639885,"PIB VO ME Per sobre la mitjana","Alt",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","2690",2466,"1.09",5.69567627494457
"8","080333",2011,10,2,1154.9,105.3,1260.2,12,"Caldes de Montbui",11,37,756,2823,3579,48,13,47,60,4839.2,8616,8570,5952,5929,3531,1774,17186,0.349121377865705,0.548424737456243,0.150882079851439,1.00806451612903,1.01197503794906,1.69923534409516,3.38218714768884,203,37.45,4.33860617290807,458.90520694259,1.36141400788049,47.369826435247,8.92769792615717,290110,169,1014,9.89290725847015,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,362.4,21.1,76.1,3.54866190769954,"PIB VO ME Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","3503",3035,"1.15",7.00988543976349
"9","081982",2011,16,8,2186.9,1182.2,3369.1,24,"Sant Antoni de Vilamajor",NA,NA,NA,NA,NA,NA,8,16,24,3369.1,2784,2771,2034,1871,1151,499,5555,0.432043204320432,0.577408877661494,0.28735632183908,1.17994100294985,1.28273650454303,2.08514335360556,4.80961923847695,258,13.7,1.40235990285723,405.474452554745,1.2029033255549,36.4233576642336,8.83811547998583,97400,174,1043,9.31436161717974,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,74.5,13.3,47.9,0.729512450672229,"PIB VO ME Per sota la mitjana","Baix",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","865",778,"1.11",1.79693274205469
"10","082074",2011,2,3,86.8,135.8,222.6,5,"Sant Esteve de Palautordera",NA,NA,NA,NA,NA,NA,3,2,5,222.6,1234,1282,965,892,473,186,2516,0.19872813990461,0.15600624024961,0.243111831442464,0.518134715025907,0.560538116591928,1.05708245243129,2.68817204301075,231,10.64,0.635164269232905,236.466165413534,0.701513831426288,17.4812030075188,8.60081837772756,40374,160,959,8.92217461155812,"Alta","RFD VO me Per sota la mitjana",82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sota la mitjana","328",301,"1.09",0.695214338507021
