"","Codi","Municipi","Usuaris_sexe_Dependencia_Dona","Usuaris_sexe_Dependencia_Home","Hores_SAD_Dependencia_Dona","Hores_SAD_Dependencia_Home","Any","Total_Hores_SAD_Dependencia","Total_Usuaris_SAD_Dependencia"
"1","080333","Caldes de Montbui",20,9,2294,1288.5,2018,3582.5,29
"2","080399","Campins",2,0,88,0,2018,88,2
"3","080462","Cardedeu",20,13,2910.91,1754.76,2018,4665.67,33
"4","081081","Lliçà de Vall",6,3,383.18,387.6,2018,770.78,9
"5","081069","Llinars del Vallès",18,6,2576.75,873.75,2018,3450.5,24
"6","082021","Sant Celoni",37,26,5280.5,3676,2018,8956.5,63
"7","082074","Sant Esteve de Palautordera",3,1,184.5,251.5,2018,436,4
"8","082107","Sant Feliu de Codines",12,9,1464,997,2018,2461,21
"9","082482","Santa Eulàlia de Ronçana",14,7,632.75,427.75,2018,1060.5,21
"10","082592","Santa Maria de Palautordera",18,10,2291.17,1330.75,2018,3621.92,28
"11","082943","Vallgorguina",3,4,546.66,351.33,2018,897.99,7
"12","080410","Canovelles",37,12,3741.5,620.5,2018,4362,49
"13","080885","La Garriga",2,1,198,87,2018,285,3
"14","081350","Montmeló",34,16,5342.18,1692.26,2018,7034.44,50
"15","081075","Lliçà d'Amunt",17,9,1192.9,514.12,2018,1707.02,26
"16","081363","Montornès del Vallès",16,5,1304.75,413,2018,1717.75,21
"17","080057","L'Ametlla del Vallès",9,10,1227,2040.5,2018,3267.5,19
"18","080142","Aiguafreda",13,7,1505.87,1162.5,2018,2668.37,20
"19","080425","Cànoves i Samalús",15,6,1600,624.5,2018,2224.5,21
"20","081347","Figaró-Montmany",6,1,780,110,2018,890,7
"21","081056","La Llagosta",24,8,2906.5,875,2018,3781.5,32
"22","080863","Les Franqueses del Vallès",15,8,2457.5,982,2018,3439.5,23
"23","081154","Martorelles",11,3,1053.5,246,2018,1299.5,14
"24","081982","Sant Antoni de Vilamajor",17,4,2143,599.5,2018,2742.5,21
"25","082093","Sant Fost de Campsentelles",18,7,1746.5,641.25,2018,2387.75,25
"26","082346","Sant Pere de Vilamajor",17,7,2006.5,539,2018,2545.5,24
"27","082567","Santa Maria de Martorelles",1,0,126,0,2018,126,1
"28","082969","Vallromanes",9,5,836,735,2018,1571,14
"29","089024","Vilanova del Vallès",15,6,2303.25,897.25,2018,3200.5,21
"30","080235","Bigues i Riells del Fai",7,2,366,106,2018,472,9
"31","081593","Parets del Vallès",11,3,3061.9,706,2018,3767.9,14
"32","081810","La Roca del Vallès",17,6,3063,404,2018,3467,23
"33","080977","Gualba",2,2,282,158,2018,440,4
"34","080961","Granollers",101,44,1949706,744992,2018,2694698,145
"35","081249","Mollet del Vallès",141,56,30178,97365,2018,127543,197
