"","Codi","Municipi","Usuaris_sexe_Dependencia_Dona","Usuaris_sexe_Dependencia_Home","Hores_SAD_Dependencia_Dona","Hores_SAD_Dependencia_Home","Total_Hores_SAD_Dependencia","Total_Usuaris_SAD_Dependencia","Usuaris_sexe_Social_Dona","Usuaris_sexe_Social_Home","Hores_SAD_Social_Dona","Hores_SAD_Social_Home","Total_Hores_SAD_Social","Total_Usuaris_SAD_Social","Any","Total_Hores_SADSOCDEP","Total_Usuaris_SADSOCDEP","Total_Usuaris_SADSOCDEP_Dones","Total_Usuaris_SADSOCDEP_Homes","Total_Hores_SADSOCDEP_Dones","Total_Hores_SADSOCDEP_Homes","Homes","Dones","De 0 a 30","De 31 a 50","De 51 a 70","De 71 a 100","Total_POB_MUNI","Perc_SAD_POB_MUNI","Perc_SAD_Dones","Perc_SAD_Homes_Muni","Perc_SAD_USUARIS_0_a_30_A","Perc_SAD_USUARIS_31_a_50_A","Perc_SAD_USUARIS_51_a_70_A","Perc_SAD_USUARIS_71_a_100_A","Altitud (m)","Superficie (km2)","Perc_pob","Densit_pob","Perc_Densit_pob","Densit.pob.De_71_a_100","perc.Densit.pob.De_71_a_100","RFDB milers d'euros","RFDB per habitant. Milers d'euros","RFDB per habitant. Índex Catalunya = 100","Perc_VO_RFD_me","Perc_VO_RFD_me_CUTTED","VO_RFD_Dico"
"1","080333","Caldes de Montbui",20,9,2294,1288.5,3582.5,29,44,14,3533,927,4460,58,2018,8042.5,87,64,23,5827,2215.5,8669,8780,5604,5494,4266,2085,17449,0.498595908074961,0.728929384965831,0.265313184911755,1.5524625267666,1.58354568620313,2.0393811533052,4.1726618705036,203,37.45,4.29472616782635,465.927903871829,1.36355011137389,55.6742323097463,100,309933,178,1007,100,NA,"RFD VO me Per sobre la mitjana"
"2","080399","Campins",2,0,88,0,88,2,1,0,166,0,166,1,2018,254,3,3,0,254,0,272,243,169,162,141,43,515,0.58252427184466,1.23456790123457,0,1.77514792899408,1.85185185185185,2.12765957446809,6.97674418604651,321,7.29,0.12675706209127,70.6447187928669,0.206743604273354,5.89849108367627,100,NA,NA,NA,NA,NA,NA
"3","080462","Cardedeu",20,13,2910.91,1754.76,4665.67,33,34,10,2678.58,530.12,3208.7,44,2018,7874.37,77,54,23,5589.49,2284.88,8892,9273,6260,5991,4042,1872,18165,0.423892100192678,0.58233581365254,0.258659469185785,1.23003194888179,1.28526122517109,1.90499752597724,4.11324786324786,193,12.1,4.47095540366586,1501.23966942149,4.39341688151324,154.710743801653,100,322372,177,1004,100,NA,"RFD VO me Per sobre la mitjana"
"4","081081","Lliçà de Vall",6,3,383.18,387.6,770.78,9,40,15,843.9,742,1585.9,55,2018,2356.68,64,46,18,1227.08,1129.6,3299,3181,2066,1917,1782,715,6480,0.987654320987654,1.44608613643508,0.54561988481358,3.09777347531462,3.33854981742306,3.59147025813693,8.95104895104895,125,10.83,1.59492381039113,598.337950138504,1.75105155061719,66.0203139427516,100,125748,194,1098,100,NA,"RFD VO me Per sobre la mitjana"
"5","081069","Llinars del Vallès",18,6,2576.75,873.75,3450.5,24,31,14,2041.5,1203,3244.5,45,2018,6695,69,49,20,4618.25,2076.75,4907,4931,3133,3075,2476,1154,9838,0.701362065460459,0.993713242749949,0.407581006725087,2.2023619533993,2.24390243902439,2.78675282714055,5.97920277296361,198,27.63,2.42142908126974,356.062251176258,1.04202542542071,41.7661961635903,100,166837,169,959,100,NA,"RFD VO me Per sobre la mitjana"
"6","082021","Sant Celoni",37,26,5280.5,3676,8956.5,63,78,22,4560.5,1460.25,6020.75,100,2018,14977.25,163,115,48,9841,5136.25,8833,8921,5946,5670,4059,2079,17754,0.918102962712628,1.28909315099204,0.543416732706895,2.74133871510259,2.87477954144621,4.01576743040158,7.84030784030784,152,65.23,4.3697958842105,272.175379426644,0.796528316605231,31.8718381112985,100,285623,161,911,100,NA,"RFD VO me Per sobre la mitjana"
"7","082074","Sant Esteve de Palautordera",3,1,184.5,251.5,436,4,3,4,170.5,158,328.5,7,2018,764.5,11,6,5,355,409.5,1359,1390,989,903,623,234,2749,0.400145507457257,0.431654676258993,0.367917586460633,1.11223458038423,1.21816168327796,1.76565008025682,4.7008547008547,231,10.64,0.676611968327964,258.364661654135,0.756110892363479,21.9924812030075,100,51207,184,1046,100,NA,"RFD VO me Per sobre la mitjana"
"8","082107","Sant Feliu de Codines",12,9,1464,997,2461,21,25,12,1007,462,1469,37,2018,3930,58,37,21,2471,1459,3132,3052,2071,2107,1317,689,6184,0.937904269081501,1.21231979030144,0.670498084291188,2.80057943022694,2.75272899857617,4.4039483675019,8.41799709724238,480,15,1.52206926596585,412.266666666667,1.20650910704785,45.9333333333333,100,100476,162,918,100,NA,"RFD VO me Per sobre la mitjana"
"9","082482","Santa Eulàlia de Ronçana",14,7,632.75,427.75,1060.5,21,15,8,758.9,142,900.9,23,2018,1961.4,44,29,15,1391.65,569.75,3601,3591,2324,2319,1712,837,7192,0.611790878754171,0.807574491785018,0.416550958067203,1.89328743545611,1.89736955584304,2.57009345794392,5.25686977299881,236,14.23,1.77016852536003,505.411103302881,1.47909871993377,58.8193956430077,100,135852,188,1067,100,NA,"RFD VO me Per sobre la mitjana"
"10","082592","Santa Maria de Palautordera",18,10,2291.17,1330.75,3621.92,28,45,11,3130.5,723.25,3853.75,56,2018,7475.67,84,63,21,5421.67,2054,4673,4652,3047,2932,2358,988,9325,0.900804289544236,1.3542562338779,0.449390113417505,2.75680997702658,2.86493860845839,3.56234096692112,8.50202429149797,208,16.94,2.29516427961377,550.472255017709,1.61097135071806,58.323494687131,100,156600,167,950,100,NA,"RFD VO me Per sobre la mitjana"
"11","082943","Vallgorguina",3,4,546.66,351.33,897.99,7,4,1,685,20,705,5,2018,1602.99,12,7,5,1231.66,371.33,1427,1427,954,1102,601,197,2854,0.420462508759636,0.490539593552908,0.350385423966363,1.25786163522013,1.08892921960073,1.99667221297837,6.09137055837564,222,22.13,0.702455641181523,128.965205603254,0.377420023575251,8.90194306371441,100,50117,175,992,100,NA,"RFD VO me Per sobre la mitjana"
