"","Codi","Municipi","Usuaris_sexe_Dependencia_Home","Usuaris_sexe_Dependencia_Dona","Hores_SAD_Dependencia_Home","Hores_SAD_Dependencia_Dona","Total_Hores_SAD_Dependencia","Total_Usuaris_SAD_Dependencia","Usuaris_sexe_Social_Dona","Usuaris_sexe_Social_Home","Hores_SAD_Social_Dona","Hores_SAD_Social_Home","Total_Hores_SAD_Social","Total_Usuaris_SAD_Social","Any","Total_Hores_SADSOCDEP","Total_Usuaris_SADSOCDEP","Total_Usuaris_SADSOCDEP_Dones","Total_Usuaris_SADSOCDEP_Homes","Total_Hores_SADSOCDEP_Dones","Total_Hores_SADSOCDEP_Homes","Homes","Dones","De 0 a 30","De 31 a 50","De 51 a 70","De 71 a 100","Total_POB_MUNI","Perc_SAD_POB_MUNI","Perc_SAD_Dones","Perc_SAD_Homes_Muni","Perc_SAD_USUARIS_0_a_30_A","Perc_SAD_USUARIS_31_a_50_A","Perc_SAD_USUARIS_51_a_70_A","Perc_SAD_USUARIS_71_a_100_A","Altitud (m)","Superficie (km2)","Perc_pob","Densit_pob","Perc_Densit_pob","Densit.pob.De_71_a_100","perc.Densit.pob.De_71_a_100","RFDB milers d'euros","RFDB per habitant. Milers d'euros","RFDB per habitant. Índex Catalunya = 100","Perc_VO_RFD_me","Perc_VO_RFD_me_CUTTED","VO_RFD_Dico"
"1","081081","Lliçà de Vall",5,7,280,378.25,658.25,12,54,15,884.35,448.8,1333.15,69,2019,1991.4,81,61,20,1262.6,728.8,3335,3207,2096,1879,1852,715,6542,1.23815346988688,1.90208917991893,0.599700149925038,3.86450381679389,4.31080361894625,4.37365010799136,11.3286713286713,125,10.83,1.59701980773268,604.062788550323,1.75469145607319,66.0203139427516,100,125748,194,1098,100,NA,"RFD VO me Per sobre la mitjana"
"2","080142","Aiguafreda",8,10,1733.33,2150.75,3884.08,18,22,5,1984,471,2455,27,2019,6339.08,45,32,13,4134.75,2204.33,1208,1296,724,719,672,389,2504,1.79712460063898,2.46913580246914,1.07615894039735,6.21546961325967,6.2586926286509,6.69642857142857,11.5681233933162,404,7.9,0.611271415249562,316.962025316456,0.920716468990221,49.2405063291139,100,44810,180,1018,100,NA,"RFD VO me Per sobre la mitjana"
"3","080057","L'Ametlla del Vallès",10,9,1366.5,970,2336.5,19,22,13,1071,898.25,1969.25,35,2019,4305.75,54,31,23,2041,2264.75,4277,4185,2883,2575,2254,750,8462,0.638147010163082,0.740740740740741,0.537760112228197,1.87304890738814,2.09708737864078,2.39574090505768,7.2,281,14.24,2.06572632421797,594.241573033708,1.72616262880241,52.6685393258427,100,196146,232,1315,100,NA,"RFD VO me Per sobre la mitjana"
"4","080235","Bigues i Riells del Fai",3,12,240,589.17,829.17,15,53,21,1303,656.5,1959.5,74,2019,2788.67,89,65,24,1892.17,896.5,4645,4447,3007,2940,2303,842,9092,0.978882534095909,1.46165954576119,0.516684607104413,2.95976055869638,3.02721088435374,3.86452453321754,10.5700712589074,307,28.64,2.2195206499397,317.458100558659,0.922157476457596,29.3994413407821,100,168859,187,1061,100,NA,"RFD VO me Per sobre la mitjana"
"5","080333","Caldes de Montbui",8,18,1015,1966,2981,26,34,8,2996.5,578,3574.5,42,2019,6555.5,68,52,16,4962.5,1593,8745,8809,5623,5434,4339,2158,17554,0.387376096616156,0.590305369508457,0.182961692395655,1.20931886893118,1.25138019874862,1.56718137819774,3.15106580166821,203,37.45,4.28524697415767,468.731642189586,1.36157933137228,57.6234979973298,100,309933,178,1007,100,NA,"RFD VO me Per sobre la mitjana"
"6","080399","Campins",0,1,0,214,214,1,1,0,65,0,65,1,2019,279,2,2,0,279,0,277,252,166,164,152,47,529,0.378071833648393,0.793650793650794,0,1.20481927710843,1.21951219512195,1.31578947368421,4.25531914893617,321,7.29,0.12913841001079,72.5651577503429,0.210788455648303,6.44718792866941,100,NA,NA,NA,NA,NA,NA
"7","080410","Canovelles",13,33,596,4064,4660,46,48,20,2332,1353,3685,68,2019,8345,114,81,33,6396,1949,8613,8016,5942,5305,3774,1608,16629,0.685549341511817,1.01047904191617,0.383141762452107,1.91854594412656,2.14891611687088,3.02066772655008,7.08955223880597,175,6.66,4.05943784512179,2496.84684684685,7.25288150889048,241.441441441441,100,230427,140,795,100,NA,"RFD VO me Per sobre la mitjana"
"8","080425","Cànoves i Samalús",5,14,865,1666.17,2531.17,19,18,5,1736.75,461,2197.75,23,2019,4728.92,42,32,10,3402.92,1326,1581,1536,998,1026,735,358,3117,1.34744947064485,2.08333333333333,0.632511068943706,4.20841683366733,4.09356725146199,5.71428571428571,11.731843575419,346,29.19,0.760915735356583,106.783144912641,0.310185423737996,12.2644741349777,100,53216,175,990,100,NA,"RFD VO me Per sobre la mitjana"
"9","080462","Cardedeu",9,27,2010.19,3630.61,5640.8,36,30,7,2276.54,403.32,2679.86,37,2019,8320.66,73,57,16,5907.15,2413.51,8957,9400,6271,5962,4180,1944,18357,0.397668464346026,0.606382978723404,0.178631238137769,1.16408866209536,1.22442133512244,1.74641148325359,3.75514403292181,193,12.1,4.48127370995855,1517.10743801653,4.40691846922288,160.661157024793,100,322372,177,1004,100,NA,"RFD VO me Per sobre la mitjana"
"10","081347","Figaró-Montmany",2,7,277,972,1249,9,11,3,640.25,78,718.25,14,2019,1967.25,23,18,5,1612.25,355,547,567,342,339,282,151,1114,2.06463195691203,3.17460317460317,0.914076782449726,6.72514619883041,6.78466076696165,8.15602836879433,15.2317880794702,330,14.99,0.271947426752401,74.3162108072048,0.215874943172854,10.0733822548366,100,16752,151,857,100,NA,"RFD VO me Per sobre la mitjana"
"11","080863","Les Franqueses del Vallès",11,15,1949.25,2903.25,4852.5,26,36,14,5394.5,2011.5,7406,50,2019,12258.5,76,51,25,8297.75,3960.75,10210,9882,7038,7077,4263,1714,20092,0.378260003981684,0.516089860352155,0.244857982370225,1.07985223074737,1.07390137063728,1.78278207834858,4.4340723453909,181,29.14,4.90481840063666,689.498970487303,2.00286787303824,58.8194921070693,100,323355,163,922,100,NA,"RFD VO me Per sobre la mitjana"
"12","080885","La Garriga",2,4,123,275,398,6,60,10,2478,419,2897,70,2019,3295,76,64,12,2753,542,7987,8527,5585,5085,3987,1857,16514,0.460215574663921,0.750557054063563,0.15024414673845,1.36078782452999,1.49459193706981,1.9061951341861,4.0926225094238,252,18.8,4.03136427772814,878.404255319149,2.55160303035028,98.7765957446808,100,301629,185,1048,100,NA,"RFD VO me Per sobre la mitjana"
"13","080977","Gualba",3,2,503,322,825,5,15,1,668.67,15,683.67,16,2019,1508.67,21,17,4,990.67,518,769,731,505,530,332,133,1500,1.4,2.32558139534884,0.520156046814044,4.15841584158416,3.9622641509434,6.32530120481928,15.7894736842105,177,23.29,0.36617696600413,64.405324173465,0.187085637776194,5.71060541004723,100,25612,172,977,100,NA,"RFD VO me Per sobre la mitjana"
"14","081056","La Llagosta",6,19,745,3186.5,3931.5,25,36,15,3155,1246.5,4401.5,51,2019,8333,76,55,21,6341.5,1991.5,6675,6805,4388,4266,3115,1711,13480,0.56379821958457,0.808229243203527,0.314606741573034,1.73199635369189,1.78152836380684,2.43980738362761,4.44184687317358,45,3.03,3.29071033449045,4448.84488448845,12.9230772962213,564.686468646865,100,203366,152,861,100,NA,"RFD VO me Per sobre la mitjana"
"15","081075","Lliçà d'Amunt",9,19,704.58,2004.07,2708.65,28,43,24,2103.8,1315.41,3419.21,67,2019,6127.86,95,62,33,4107.87,2019.99,7819,7437,5050,4828,3739,1639,15256,0.622705820660724,0.833669490385908,0.422048855352347,1.88118811881188,1.96768848384424,2.54078630649906,5.79621720561318,145,22.33,3.72426386223934,683.20644872369,1.98458925302547,73.3990147783251,100,273336,180,1024,100,NA,"RFD VO me Per sobre la mitjana"
"16","081069","Llinars del Vallès",7,17,526,2259.25,2785.25,24,31,14,2853.5,1176,4029.5,45,2019,6814.75,69,48,21,5112.75,1702,4946,4992,3180,3029,2564,1165,9938,0.694304689072248,0.961538461538462,0.424585523655479,2.16981132075472,2.27797953119842,2.69110764430577,5.92274678111588,198,27.63,2.42604445876603,359.681505609844,1.04480871320641,42.1643141512848,100,166837,169,959,100,NA,"RFD VO me Per sobre la mitjana"
"17","081154","Martorelles",5,9,456,1321,1777,14,22,8,1705,1030.45,2735.45,30,2019,4512.45,44,31,13,3026,1486.45,2422,2379,1459,1419,1291,632,4801,0.916475734222037,1.30306851618327,0.536746490503716,3.01576422206991,3.10077519379845,3.40821068938807,6.9620253164557,96,3.61,1.17201040919055,1329.91689750693,3.86316432922993,175.069252077562,100,87759,183,1040,100,NA,"RFD VO me Per sobre la mitjana"
"18","081350","Montmeló",11,31,1918.8,4242.44,6161.24,42,22,4,1241,443,1684,26,2019,7845.24,68,53,15,5483.44,2361.8,4275,4480,2780,2621,2292,1062,8755,0.776699029126214,1.18303571428571,0.350877192982456,2.44604316546763,2.59442960702022,2.96684118673647,6.4030131826742,72,4,2.13725289157744,2188.75,6.35791675513919,265.5,100,144506,165,937,100,NA,"RFD VO me Per sobre la mitjana"
"19","081363","Montornès del Vallès",4,15,405.5,1424.5,1830,19,26,23,1433.75,1685.5,3119.25,49,2019,4949.25,68,41,27,2858.25,2091,8251,8142,5579,5490,3675,1649,16393,0.414811199902397,0.503561778432817,0.327233062659072,1.21885642588277,1.23861566484517,1.85034013605442,4.12371134020619,116,10.23,4.00182600247047,1602.44379276637,4.65480490654397,161.19257086999,100,261770,161,912,100,NA,"RFD VO me Per sobre la mitjana"
"20","081593","Parets del Vallès",4,11,462,2630,3092,15,94,50,2903,3578,6481,144,2019,9573,159,105,54,5533,4040,9541,9541,6376,6298,4511,1897,19082,0.83324599098627,1.10051357300073,0.565978408971806,2.49372647427854,2.52461098761512,3.52471735757038,8.38165524512388,98,9.12,4.65825924352721,2092.32456140351,6.07781856591051,208.004385964912,100,331304,174,988,100,NA,"RFD VO me Per sobre la mitjana"
"21","081810","La Roca del Vallès",4,16,418,3127.67,3545.67,20,39,8,3429.27,741,4170.27,47,2019,7715.94,67,55,12,6556.94,1159,5319,5331,3568,3464,2586,1032,10650,0.629107981220657,1.03170136934909,0.225606316976875,1.87780269058296,1.93418013856813,2.59087393658159,6.4922480620155,123,36.9,2.59985645862933,288.617886178862,0.838381950597118,27.9674796747967,100,201928,190,1077,100,NA,"RFD VO me Per sobre la mitjana"
"22","081982","Sant Antoni de Vilamajor",5,15,617,1957,2574,20,42,8,3417,481,3898,50,2019,6472,70,57,13,5374,1098,3031,3104,2040,1906,1565,624,6135,1.14099429502853,1.83634020618557,0.428901352688882,3.43137254901961,3.67261280167891,4.47284345047923,11.2179487179487,258,13.7,1.49766379095689,447.810218978102,1.30080643945788,45.5474452554745,100,115914,190,1078,100,NA,"RFD VO me Per sobre la mitjana"
"23","082021","Sant Celoni",33,43,4574,6761.5,11335.5,76,84,19,3929.5,1022.5,4952,103,2019,16287.5,179,127,52,10691,5596.5,8939,8965,6023,5606,4164,2111,17904,0.999776586237712,1.41662018962632,0.581720550397136,2.97194089324257,3.19300749197289,4.29875120076849,8.47939365229749,152,65.23,4.3706882662253,274.47493484593,0.797299274527779,32.3624099340794,100,285623,161,911,100,NA,"RFD VO me Per sobre la mitjana"
"24","082074","Sant Esteve de Palautordera",2,2,417.5,223.75,641.25,4,2,5,52,286.5,338.5,7,2019,979.75,11,4,7,275.75,704,1391,1429,1028,883,672,237,2820,0.390070921985816,0.279916025192442,0.503235082674335,1.07003891050584,1.24575311438279,1.63690476190476,4.64135021097046,231,10.64,0.688412696087765,265.037593984962,0.769885532627651,22.2744360902256,100,51207,184,1046,100,NA,"RFD VO me Per sobre la mitjana"
"25","082107","Sant Feliu de Codines",10,15,1274.87,1614.49,2889.36,25,12,14,560,966,1526,26,2019,4415.36,51,27,24,2174.49,2240.87,3168,3091,2104,2064,1396,695,6259,0.814826649624541,0.873503720478809,0.757575757575758,2.42395437262357,2.47093023255814,3.65329512893983,7.33812949640288,480,15,1.52793442014657,417.266666666667,1.21208302974807,46.3333333333333,100,100476,162,918,100,NA,"RFD VO me Per sobre la mitjana"
"26","082093","Sant Fost de Campsentelles",7,12,784.67,1840,2624.67,19,14,11,1640.5,859.75,2500.25,25,2019,5124.92,44,26,18,3480.5,1644.42,4352,4385,2653,2529,2381,1174,8737,0.503605356529701,0.592930444697834,0.413602941176471,1.65849981153411,1.73981810992487,1.84796304073919,3.74787052810903,112,13.15,2.13285876798539,664.410646387833,1.92999089935446,89.277566539924,100,165089,190,1075,100,NA,"RFD VO me Per sobre la mitjana"
