"","N_USUARIS","Any","Núm. Expedient","Municipi","Estat","Tipus","HORES_SERVEI_SAD","PREU_SERVEI_SAD","IMPORT_SERVEI_SAD","IMPORT_SERVEI_SAD_IVA","HORES_SERVEI_SAD_NO","PREU_SERVEI_SAD_NO","IMPORT_SERVEI_SAD_NO","IMPORT_SERVEI_SAD_NO_IVA","Data de naixement","Sexe","Any de naixement","EDAT","TIPUS_SERVEI_SAD","Codi","PREU_SERVEI_SAD_HORA","PREU_SERVEI_SAD_HORA_NO","SAD_Dona","SAD_Home","USUARIS SAD De 31 a 50","USUARIS SAD De 51 a 70","USUARIS SAD De 71 a 100","USUARIS SAD De 0 a 30","NA","N_Municipis_Any","N_USUARIS_ANY","USUARIS_Muni","Homes","Dones","De 0 a 30","De 31 a 50","De 51 a 70","De 71 a 100","Total_POB_MUNI","Perc_SAD_POB_MUNI","Perc_SAD_Dones_Muni","Perc_SAD_Homes_Muni","Perc_SAD_USUARIS_0_a_30_A","Perc_SAD_USUARIS_31_a_50_A","Perc_SAD_USUARIS_51_a_70_A","Perc_SAD_USUARIS_71_a_100_A","Perc_Pob","Esperança_vida_H_I_D_BCN_PROV","Esperança_vida_H_BCN_PROV","Esperança_vida_D_BCN_PROV","VS_65_Homes_CAT","VS_65_Dones_CAT","Total_VS_65_HD_CAT","VS_AN_Homes_CAT","VS_AN_Dones_CAT","Total_VS_AN_HD_CAT","Total places Residències","Places Centres de dia","MEAN_VALORACIO_SIT_ECO_CAT","MEAN_VALORACIO_SIT_POL_CAT","MEAN_INTERES_POL","MEAN_STF_DEM","MEAN_CONFI_POL","MEAN_IDEOLOGIA","MEAN_SENT_PERT","VO PIB milions d'euros","VO PIB  per habitant. Milers d'euros","VO PIB  per habitant. Índex Catalunya = 100","Perc_VO_PIB_ME","VO_PIB_Dico","PERC_VO_PIB_ME_CUTTED","RFDB milers d'euros","RFDB per habitant. Milers d'euros","RFDB per habitant. Índex Catalunya = 100","Perc_VO_RFD_me","VO_RFD_Dico","Perc_VO_RFD_me_CUTTED","Altitud (m)","Superficie (km2)","Perc_pob","Densit_pob","Perc_Densit_pob","Nombre de pensions","Nombre de pensionistes","Pensions per pensionista","Perc_N_Pens","Perc_Pens_Pob","IBI_Rebuts","IBI_Base imposable (milers d'euros)","IBI_Quota íntegra (euros)","IBI_Base imposable/ Rebut (euros)","IBI_Quota íntegra/ Rebut (euros)","Perc_VO_IBI_me","VO_IBI_Dico","PERC_VO_IBI_me_CUTTED","IRPF_Base imposable general per declarant (EUROS)","IRPF_Quota resultant de l'autoliquidació per declarant (EUROS)","Perc_VO_IRPF_e","VO_IRPF_Dico","PERC_VO_IRPF_e_CUTTED","Índex de Gini (CAT)","Índex de ràtio S80/S20 (CAT)","Taxa de risc de pobresa o exclusió social (taxa AROPE)","Població en risc de pobresa (després de transferències socials)","Població que viu en llars amb intensitat de treball molt baixa (1)","Població amb privació material severa","PIB (CAT)","Producció de béns públics de caràcter social","Soport financer als ens locals","Deute públic","Pressupots Consell Comarcal Vallès Oriental (milions €)","Perc_Homes_CAT_Sota_Llindar_pobresa","Perc_Dones_CAT_Sota_Llindar_pobresa","Perc_Total_Pob_CAT_Sota_Llindar_pobresa","Anys_Dependencia","Anys_Dependencia_Cutted","ABS_DSP_2017"
"1",1,2011,"07/001/2008","Cànoves i Samalús","Actiu","Social",91,180,1365,0,0,0,0,0,1941-04-10,"Dona",1941,70,"Cura de la persona i de la llar","080425",15,NA,25,1,2,6,18,0,NA,14,196,26,1449,1369,929,992,640,257,2818,0.92264017033357,1.82615047479912,0.0690131124913734,0,0.201612903225806,0.9375,7.00389105058366,3.17270884935825,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,46507,164,986,0.706088405055804,"RFD VO me Per sota la mitjana","Baixa",346,29.19,0.688862814119488,96.5399109284001,0.283571415744425,"480",431,"1.11",0.655403658703487,0.0173502085245479,1722,138352,982633,80343.8,570.6,0.708923171773265,"IBI VO me Per sota la mitjana","Baix-Mig",20591,5070,2.01915609629821,"IRPF VO me Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"2",2,2011,"07/001/2010","Cànoves i Samalús","Actiu","Social",96.5,180,1447.5,0,0,0,0,0,1933-07-04,"Dona",1933,78,"Cura de la persona i de la llar","080425",15,NA,25,1,2,6,18,0,NA,14,196,26,1449,1369,929,992,640,257,2818,0.92264017033357,1.82615047479912,0.0690131124913734,0,0.201612903225806,0.9375,7.00389105058366,3.17270884935825,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,46507,164,986,0.706088405055804,"RFD VO me Per sota la mitjana","Baixa",346,29.19,0.688862814119488,96.5399109284001,0.283571415744425,"480",431,"1.11",0.655403658703487,0.0173502085245479,1722,138352,982633,80343.8,570.6,0.708923171773265,"IBI VO me Per sota la mitjana","Baix-Mig",20591,5070,2.01915609629821,"IRPF VO me Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"3",3,2011,"07/002/2011","Cànoves i Samalús","Baixa definitiva","Social",21,45,315,0,0,0,0,0,1969-11-09,"Dona",1969,42,"Cura de la persona i de la llar","080425",15,NA,25,1,2,6,18,0,NA,14,196,26,1449,1369,929,992,640,257,2818,0.92264017033357,1.82615047479912,0.0690131124913734,0,0.201612903225806,0.9375,7.00389105058366,3.17270884935825,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,46507,164,986,0.706088405055804,"RFD VO me Per sota la mitjana","Baixa",346,29.19,0.688862814119488,96.5399109284001,0.283571415744425,"480",431,"1.11",0.655403658703487,0.0173502085245479,1722,138352,982633,80343.8,570.6,0.708923171773265,"IBI VO me Per sota la mitjana","Baix-Mig",20591,5070,2.01915609629821,"IRPF VO me Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"4",5,2011,"07/004/2008","Cànoves i Samalús","Actiu","Social",12,30,180,0,0,0,0,0,1925-09-06,"Dona",1925,86,"Cura de la persona i de la llar","080425",15,NA,25,1,2,6,18,0,NA,14,196,26,1449,1369,929,992,640,257,2818,0.92264017033357,1.82615047479912,0.0690131124913734,0,0.201612903225806,0.9375,7.00389105058366,3.17270884935825,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,46507,164,986,0.706088405055804,"RFD VO me Per sota la mitjana","Baixa",346,29.19,0.688862814119488,96.5399109284001,0.283571415744425,"480",431,"1.11",0.655403658703487,0.0173502085245479,1722,138352,982633,80343.8,570.6,0.708923171773265,"IBI VO me Per sota la mitjana","Baix-Mig",20591,5070,2.01915609629821,"IRPF VO me Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"5",6,2011,"07/005/2010","Cànoves i Samalús","Actiu","Social",95.5,180,1432.5,0,0,0,0,0,1934-08-04,"Dona",1934,77,"Cura de la persona i de la llar","080425",15,NA,25,1,2,6,18,0,NA,14,196,26,1449,1369,929,992,640,257,2818,0.92264017033357,1.82615047479912,0.0690131124913734,0,0.201612903225806,0.9375,7.00389105058366,3.17270884935825,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,46507,164,986,0.706088405055804,"RFD VO me Per sota la mitjana","Baixa",346,29.19,0.688862814119488,96.5399109284001,0.283571415744425,"480",431,"1.11",0.655403658703487,0.0173502085245479,1722,138352,982633,80343.8,570.6,0.708923171773265,"IBI VO me Per sota la mitjana","Baix-Mig",20591,5070,2.01915609629821,"IRPF VO me Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"6",7,2011,"07/006/2010","Cànoves i Samalús","Actiu","Social",91,180,1365,0,0,0,0,0,1923-09-28,"Dona",1923,88,"Cura de la persona i de la llar","080425",15,NA,25,1,2,6,18,0,NA,14,196,26,1449,1369,929,992,640,257,2818,0.92264017033357,1.82615047479912,0.0690131124913734,0,0.201612903225806,0.9375,7.00389105058366,3.17270884935825,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,46507,164,986,0.706088405055804,"RFD VO me Per sota la mitjana","Baixa",346,29.19,0.688862814119488,96.5399109284001,0.283571415744425,"480",431,"1.11",0.655403658703487,0.0173502085245479,1722,138352,982633,80343.8,570.6,0.708923171773265,"IBI VO me Per sota la mitjana","Baix-Mig",20591,5070,2.01915609629821,"IRPF VO me Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"7",13,2011,"07/017/2009","Cànoves i Samalús","Actiu","Social",8,15,120,0,0,0,0,0,1923-01-25,"Dona",1923,88,"Cura de la persona i de la llar","080425",15,NA,25,1,2,6,18,0,NA,14,196,26,1449,1369,929,992,640,257,2818,0.92264017033357,1.82615047479912,0.0690131124913734,0,0.201612903225806,0.9375,7.00389105058366,3.17270884935825,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,46507,164,986,0.706088405055804,"RFD VO me Per sota la mitjana","Baixa",346,29.19,0.688862814119488,96.5399109284001,0.283571415744425,"480",431,"1.11",0.655403658703487,0.0173502085245479,1722,138352,982633,80343.8,570.6,0.708923171773265,"IBI VO me Per sota la mitjana","Baix-Mig",20591,5070,2.01915609629821,"IRPF VO me Per sota la mitjana","Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"8",15,2011,"09/001/2010","Castellcir","Actiu","Social",94,180,1410,0,0,0,0,0,1928-03-21,"Home",1928,83,"Cura de la persona i de la llar","080556",15,NA,0,1,0,0,1,0,NA,14,196,1,342,323,222,238,128,77,665,0.150375939849624,0,0.292397660818713,0,0,0,1.2987012987013,0.748705246566089,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773,34.18,0.162559890485969,19.4558221181978,0.0571485406343587,"133",121,"1.10",0.183999635042046,0.00487094021222807,689,33751,270006,48985.5,391.9,0.172941959426098,"IBI VO me Per sota la mitjana","Baix",24503,6355,2.53091459407794,"IRPF VO me Per sobre la mitjana","Alt",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"9",17,2011,"10/001/2011","Castellterçol","Actiu","Social",30,120,450,0,0,0,0,0,1937-08-05,"Dona",1937,74,"Cura de la persona i de la llar","080641",15,NA,17,3,0,2,18,0,NA,14,196,20,1188,1188,722,798,498,358,2376,0.841750841750842,1.43097643097643,0.252525252525253,0,0,0.401606425702811,5.02793296089385,2.67507318171583,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,38522,162,970,0.584856850357144,"RFD VO me Per sota la mitjana","Baixa",726,31.9,0.580815488413024,74.4827586206897,0.218781860346691,"580",477,"1.22",0.725353933182281,0.0192019709192793,2048,162515,1012684,79353,494.5,0.832735697790651,"IBI VO me Per sota la mitjana","Baix-Mig",19607,4763,1.89689161472749,"IRPF VO me Per sota la mitjana","Baix-Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
"10",18,2011,"10/002/2010","Castellterçol","Actiu","Social",123,165,1845,0,0,0,0,0,1952-05-10,"Home",1952,59,"Cura de la persona i de la llar","080641",15,NA,17,3,0,2,18,0,NA,14,196,20,1188,1188,722,798,498,358,2376,0.841750841750842,1.43097643097643,0.252525252525253,0,0,0.401606425702811,5.02793296089385,2.67507318171583,82.66,79.61,85.52,16.79,20.84,19,77.06,82.13,79.69,2738,800,4.09724310776942,3.4796992481203,2.36892230576441,2.8140350877193,4.65213032581454,4.80952380952381,7.71679197994987,NA,NA,NA,NA,NA,NA,38522,162,970,0.584856850357144,"RFD VO me Per sota la mitjana","Baixa",726,31.9,0.580815488413024,74.4827586206897,0.218781860346691,"580",477,"1.22",0.725353933182281,0.0192019709192793,2048,162515,1012684,79353,494.5,0.832735697790651,"IBI VO me Per sota la mitjana","Baix-Mig",19607,4763,1.89689161472749,"IRPF VO me Per sota la mitjana","Baix-Mig",NA,NA,NA,NA,NA,NA,208341,16319.23,2911.88,5975.51,17.02,18.1,20.8,19.5,2.97,"Anys.Dep: Per sobre la mitjana","Abans 2017"
